Title,Studio,Gross,Gross (Adjusted),Year
Gone with the Wind,MGM,198676459,1796176700,1939
Star Wars,Fox,460998007,1583483200,1977
The Sound of Music,Fox,158671368,1266072700,1965
E.T.: The Extra-Terrestrial,Universal,435110554,1261085000,1982
Titanic,Paramount,658672302,1204368000,1997
The Ten Commandments,Paramount,65500000,1164590000,1956
Jaws,Universal,260000000,1138620700,1975
Doctor Zhivago,MGM,111721910,1103564200,1965
The Exorcist,Warner Brothers,232906145,983226600,1973
Snow White and the Seven Dwarves,Disney,184925486,969010000,1937
Star Wars: The Force Awakens,Buena Vista,936662225,961143200,2015
101 Dalmatians,Disney,144880014,888264400,1961
The Empire Strikes Back,Fox,290475067,872825900,1980
Ben-Hur,MGM,74000000,871220000,1959
Avatar,Fox,760507625,865082100,2009
Return of the Jedi,Fox,309306177,836188200,1983
Jurassic Park,Universal,402453882,817186200,1993
Star Wars: Episode I - The Phantom Menace,Fox,474544677,802874300,1999
The Lion King,Buena Vista,422783777,792511700,1994
The Sting,Universal,156000000,792480000,1973
Raiders of the Lost Ark,Paramount,248159971,787003100,1981
The Graduate,AVCO,104945305,760778000,1967
Fantasia,Disney,76408097,738256500,1941
Jurassic World,Universal,652270625,702747400,2015
The Godfather,Paramount,134966411,701621600,1972
Forrest Gump,Paramount,330252182,698884100,1994
Mary Poppins,Disney,102272727,695036400,1964
Grease,Paramount,188755690,684256200,1978
Marvel's The Avengers,Buena Vista,623357910,683474000,2012
Thunderball,United Artists,63595658,664972000,1965
The Dark Knight,Warner Brothers,534858444,661980500,2008
The Jungle Book,Disney,141843612,655014400,1967
Sleeping Beauty,Disney,51600000,646090100,1959
Ghostbusters,Columbia,242212467,632734400,1984
Shrek 2,Dreamworks,441226247,631642700,2004
Butch Cassidy and the Sundance Kid,Fox,102308889,627259300,1969
Love Story,Paramount,106397186,622283500,1970
Spider-Man,Sony,403706375,617719400,2002
Independence Day,Fox,306169268,615800300,1996
Home Alone,Fox,285761243,602157000,1990
Pinocchio,Disney,84254167,599215600,1940
Cleopatra (1963),Fox,57777778,597261000,1963
Beverly Hills Cop,Paramount,234760478,596963700,1984
Goldfinger,United Artists,51081062,589407000,1964
Airport,Universal,100489151,587729300,1970
American Graffiti,Universal,115000000,584200000,1973
The Robe,Fox,36000000,581890900,1953
Pirates of the Caribbean: Dead Man's Chest,Buena Vista,423315812,574546200,2006
Around the World in 80 Days,United Artists,42000000,574430800,1956
Bambi,RKO,102247150,566403700,1942
Blazing Saddles,Warner Brothers,119601481,562200300,1974
Batman,Warner Brothers,251188924,559666600,1989
The Bells of St. Mary's,RKO,21333333,557803900,1945
The Lord of the Rings: The Return of the King,Newline,377845905,547976900,2003
Finding Nemo,Buena Vista,380843261,547504100,2003
The Towering Inferno,Fox,116000000,545629600,1974
Rogue One: A Star Wars Story,Buena Vista,532177324,537326000,2016
Cinderella (1950),Disney,93141149,536079700,1950
Spider-Man 2,Sony,373585825,534811300,2004
The Greatest Showman on Earth,Paramount,36000000,533400000,1952
My Fair Lady,Warner Brothers,72000000,533400000,1964
National Lampoon's Animal House,Universal,141600000,532424500,1978
The Passion of the Christ,NM,370782930,530776000,2004
Star Wars: Episode III - Revenge of the Sith,Fox,380270577,527395500,2005
Back to the Future,Universal,210609762,524960300,1985
The Lord of the Rings: The Two Towers,Newline,342551365,513177800,2002
The Dark Knight Rises,Warner Brothers,448139099,511902300,2012
The Sixth Sense,Buena Vista,293506292,511878400,1999
Superman,Warner Brothers,134218018,509913700,1978
Tootsie,Columbia,177200000,505876000,1982
Smokey and the Bandit,Universal,126737428,505244700,1977
Beauty and the Beast (2017),Buena Vista,504014165,504014165,2017
Finding Dory,Buena Vista,486295561,499245400,2016
West Side Story,MGM,43656822,497575800,1961
Harry Potter and the Sorcerer's Stone,Warner Brothers,317575550,497066400,2001
Lady and the Tramp,Disney,93602326,495483100,1955
Close Encounters of the Third Kind,Columbia,132088635,494066600,1977
Lawrence of Arabia,Columbia,44824144,492359800,1962
The Rocky Horror Picture Show,Fox,112892319,489567200,1975
Rocky,United Artists,117235147,489305400,1976
The Best Years of Our Lives,RKO,23650000,488950000,1946
The Poseidon Adventure,Fox,84563118,488078400,1972
The Lord of the Rings: The Fellowship of the Ring,Newline,315544750,487165600,2001
Twister,Warner Brothers,241721524,486177500,1996
Men in Black,Sony,250690539,485542200,1997
The Bridge on the River Kwai,Columbia,27200000,483616000,1957
Transformers: Revenge of the Fallen,Paramount/Dreamworks,402111870,479179200,2009
"It's a Mad, Mad, Mad, Mad World",MGM,46332858,478952400,1963
Swiss Family Robinson,Disney,40356000,478353100,1960
One Flew Over the Cuckoo's Nest,United Artists,108981275,477262800,1975
M.A.S.H.,Fox,81600000,477252600,1970
Indiana Jones and the Temple of Doom,Paramount,179870271,475906700,1984
Avengers: Age of Ultron,Buena Vista,459005868,475854300,2015
Star Wars: Episode II - Attack of the Clones,Fox,310676740,475334700,2002
Mrs. Doubtfire,Fox,219195243,468364200,1993
Aladdin,Buena Vista,217350219,466212500,1992
Toy Story 3,Buena Vista,415004880,464074600,2010
Ghost,Paramount,217631306,457525800,1990
The Hunger Games: Catching Fire,Lionsgate,424668047,454409200,2013
Duel in the Sun,Selz.,20408163,453571400,1946
The Hunger Games,Lionsgate,408010692,452174400,2012
Pirates of the Caribbean: The Curse of the Black Pearl,Buena Vista,305413918,450268700,2003
House of Wax,Warner Brothers,23750000,449228700,1953
Rear Window,Paramount,36764313,447653700,1954
The Lost World: Jurassic Park,Universal,229086679,443699500,1997
Indiana Jones and the Last Crusade,Paramount,197171806,439312600,1989
"Monsters, Inc.",Buena Vista,289916256,438749200,2001
Frozen,Buena Vista,400738009,435974700,2013
Spider-Man 3,Sony,336530303,434848000,2007
Iron Man 3,Buena Vista,409013994,433906300,2013
Terminator 2: Judgment Day,Tristar,205396118,433104200,1991
Sergeant York,Warner Brothers,16361885,427815200,1941
How the Grinch Stole Christmas,Universal,260044825,427669700,2000
Top Gun,Paramount,179800601,426989100,1986
Harry Potter and the Deathly Hallows Part 2,Warner Brothers,381011219,426630300,2011
Toy Story 2,Buena Vista,245852179,425266700,1999
Shrek,Dreamworks,267665011,420413700,2001
Shrek the Third,Paramount/Dreamworks,322719944,417002900,2007
Despicable Me 2,Universal,368061265,416888500,2013
Captain America: Civil War,Buena Vista,408084349,415654000,2016
The Matrix Reloaded,Warner Brothers,281576461,415126800,2003
Transformers,Paramount/Dreamworks,319246193,412514300,2007
Crocodile Dundee,Paramount,174803506,410739900,1986
The Four Horsemen of the Apocalypse,Metro,9183673,408214300,1921
Saving Private Ryan,Dreamworks,216540909,406691500,1998
Wonder Woman,Warner Brothers,406381596,406381596,2017
Young Frankenstein,Fox,86273333,405804200,1974
Peter Pan,Disney,87404651,405593100,1953
Gremlins,Warner Brothers,153083102,404336400,1984
Beauty and the Beast,Buena Vista,218967620,403283400,1991
"The Chronicles of Narnia: The Lion, the Witch and the Wa ...",Buena Vista,291710957,401616500,2005
Harry Potter and the Goblet of Fire,Warner Brothers,290013036,401608200,2005
Pirates of the Caribbean: At World's End,Buena Vista,309420425,399818000,2007
Harry Potter and the Chamber of Secrets,Warner Brothers,261988482,399302200,2002
The Fugitive,Warner Brothers,183875760,394692100,1993
The Caine Mutiny,Columbia,21750000,394607100,1954
Iron Man,Paramount,318412101,394234700,2008
Transformers: Dark of the Moon,Paramount/Dreamworks,352390543,393479300,2011
Meet the Fockers,Universal,279261160,392698200,2004
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,317101119,392622400,2008
Toy Story,Buena Vista,191796233,389989400,1995
Guardians of the Galaxy Vol. 2,Buena Vista,389397196,389397196,2017
Dances with Wolves,Orion,184208848,388486700,1990
An Officer and a Gentleman,Paramount,129795554,388109400,1982
2001: A Space Odyssey,MGM,56954992,385261600,1968
Rain Man,MGM,172825435,384863200,1988
The Secret Life of Pets,Universal,368384330,384704200,2016
Guess Who's Coming to Dinner,Columbia,56666667,384554700,1967
Inside Out,Buena Vista,356461711,383928800,2015
American Sniper,Warner Brothers,350126372,382981200,2014
Kramer Vs. Kramer,Columbia,106260000,382450000,1979
Armageddon,Buena Vista,201578182,382096000,1998
Psycho,Universal,32000000,379306800,1960
Rocky III,United Artists,125049125,377942800,1982
Harry Potter and the Order of the Phoenix,Warner Brothers,292004738,377314200,2007
Rambo: First Blood Part II,Tristar,150415432,376674100,1985
Batman Forever,Warner Brothers,184031112,376100400,1995
Deadpool,Fox,363070709,375984600,2016
Pretty Woman,Buena Vista,178406268,374948400,1990
Earthquake,Universal,79666653,374728300,1974
Alice in Wonderland (2010),Buena Vista,334191110,373705500,2010
The Incredibles,Buena Vista,261441092,373646300,2004
Cast Away,Fox,233632142,372439400,2000
Home Alone 2: Lost in New York,Fox,173585516,372042900,1992
The Jungle Book (2016),Buena Vista,364001123,370808400,2016
Three Men and a Baby,Buena Vista,167780960,370746600,1987
My Big Fat Greek Wedding,IFC,241438208,368219200,2002
GUnited Artistsrdians of the Galaxy,Buena Vista,333176600,366068600,2014
Furious 7,Universal,353007020,364701500,2015
Mission: Impossible,Paramount,180981856,364011000,1996
The Hunger Games: Mockingjay - Part 1,Lionsgate,337135885,362062100,2014
Minions,Universal,336045770,361949600,2015
Saturday Night Fever,Paramount,94213184,360976100,1977
On Golden Pond,Universal,119285432,360794700,1981
Austin Powers: The Spy Who Shagged Me,Newline,206040086,360570200,1999
Harry Potter and the Half-Blood Prince,Warner Brothers,301959197,359788300,2009
Bruce Almighty,Universal,242829261,358002000,2003
Harry Potter and the Prisoner of Azkaban,Warner Brothers,249541069,357233500,2004
Funny Girl,Columbia,52223306,355950700,1968
Mission: Impossible II,Paramount,215409889,355286400,2000
Rush Hour 2,Newline,226164286,355229800,2001
Apollo 13,Universal,173837933,354335300,1995
Patton,Fox,61749765,354164800,1970
Fatal Attraction,Paramount,156645693,352761800,1987
Zootopia,Buena Vista,341268248,352098200,2016
Liar Liar,Universal,181410615,351359500,1997
Robin Hood: Prince of Thieves,Warner Brothers,165493908,349463400,1991
Beverly Hills Cop II,Paramount,153665036,349381600,1987
Iron Man 2,Paramount,312433331,349375100,2010
Up,Buena Vista,293004164,349143900,2009
Batman Returns,Warner Brothers,162831698,348813000,1992
Signs,Buena Vista,227966634,348787100,2002
Superman II,Warner Brothers,108185706,345960800,1981
The Twilight Saga: New Moon,Sum.,296623634,345910600,2009
"What's Up, Doc?",Warner Brothers,66000000,345141200,1972
9 to 5,Fox,103290500,341357800,1980
Batman v Superman: Dawn of Justice,Warner Brothers,330360194,340137000,2016
The Firm,Paramount,158348367,340028200,1993
Suicide Squad,Warner Brothers,325100054,339411900,2016
Who Framed Roger Rabbit,Buena Vista,156452370,338409100,1988
