rank,movie,boxoffice,in_millions
1,"Avatar (2009)",760505847,760.505847
2,"Titanic (1997)",658672302,658.672302
3,"Jurassic World (2015)",642978555,642.978555
4,"The Avengers (2012)",623279547,623.279547
5,"The Dark Knight (2008)",533316061,533.316061
6,"Star Wars: Episode I - The Phantom Menace (1999)",474544677,474.544677
7,"Star Wars (1977)",460935665,460.935665
8,"Avengers: Age of Ultron (2015)",457744064,457.744064
9,"The Dark Knight Rises (2012)",448130642,448.130642
10,"Shrek 2 (2004)",436471036,436.471036
11,"E.T. the Extra-Terrestrial (1982)",434949459,434.949459
12,"The Hunger Games: Catching Fire (2013)",424645577,424.645577
13,"Pirates of the Caribbean: Dead Man's Chest (2006)",423032628,423.032628
14,"The Lion King (1994)",422783777,422.783777
15,"Toy Story 3 (2010)",414984497,414.984497
16,"Iron Man 3 (2013)",408992272,408.992272
17,"The Hunger Games (2012)",407999255,407.999255
18,"Spider-Man (2002)",403706375,403.706375
19,"Jurassic Park (1993)",402348347,402.348347
20,"Transformers: Revenge of the Fallen (2009)",402076689,402.076689
21,"Frozen (2013)",400736600,400.7366
22,"Harry Potter and the Deathly Hallows: Part 2 (2011)",380955619,380.955619
23,"Finding Nemo (2003)",380838870,380.83887
24,"Star Wars: Episode III - Revenge of the Sith (2005)",380262555,380.262555
25,"The Lord of the Rings: The Return of the King (2003)",377019252,377.019252
26,"Spider-Man 2 (2004)",373377893,373.377893
27,"The Passion of the Christ (2004)",370270943,370.270943
28,"Despicable Me 2 (2013)",368049635,368.049635
29,"Transformers: Dark of the Moon (2011)",352358779,352.358779
30,"American Sniper (2014)",350123553,350.123553
31,"Furious 7 (2015)",350034110,350.03411
32,"Inside Out (2015)",349526793,349.526793
33,"The Lord of the Rings: The Two Towers (2002)",340478898,340.478898
34,"The Hunger Games: Mockingjay - Part 1 (2014)",337103873,337.103873
35,"Spider-Man 3 (2007)",336530303,336.530303
36,"Alice in Wonderland (2010)",334185206,334.185206
37,"Guardians of the Galaxy (2014)",333130696,333.130696
38,"Forrest Gump (1994)",329691196,329.691196
39,"Minions (2015)",328774550,328.77455
40,"Shrek the Third (2007)",320706665,320.706665
41,"Transformers (2007)",318759914,318.759914
42,"Iron Man (2008)",318298180,318.29818
43,"Harry Potter and the Sorcerer's Stone (2001)",317557891,317.557891
44,"Indiana Jones and the Kingdom of the Crystal Skull (2008)",317011114,317.011114
45,"The Lord of the Rings: The Fellowship of the Ring (2001)",313837577,313.837577
46,"Iron Man 2 (2010)",312057433,312.057433
47,"Star Wars: Episode II - Attack of the Clones (2002)",310675583,310.675583
48,"Pirates of the Caribbean: At World's End (2007)",309404152,309.404152
49,"Star Wars: Episode VI - Return of the Jedi (1983)",309125409,309.125409
50,"Independence Day (1996)",306124059,306.124059
51,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)",305388685,305.388685
